,molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,base_rdkit_smiles,molecular_weight
17923,CHEMBL1466,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,IC50,'=',300.0,nM,6.52,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,336.3
17935,CHEMBL4060355,O=C(O)CC1CCC2(CCN(c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)CC2)OC1,IC50,'=',25600.0,nM,4.59,O=C(O)CC1CCC2(CCN(c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)CC2)OC1,474.48
17936,CHEMBL3985591,Cc1nc(N2Cc3cn(-c4cccc(S(C)(=O)=O)c4)nc3[C@H]2C(C)C)cc(C(F)(F)F)n1,IC50,'=',5043.0,nM,5.3,Cc1nc(N2Cc3cn(-c4cccc(S(C)(=O)=O)c4)nc3[C@H]2C(C)C)cc(C(F)(F)F)n1,465.5
17952,CHEMBL246160,CN(C)CC1CCC(CNc2nc(NCc3ccccc3Cl)ncc2[N+](=O)[O-])CC1,IC50,'=',8400.0,nM,5.08,CN(C)CC1CCC(CNc2nc(NCc3ccccc3Cl)ncc2[N+](=O)[O-])CC1,432.96
17956,CHEMBL460291,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,IC50,'=',2000.0,nM,5.7,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,455.55
17968,CHEMBL1824230,CN(C)[C@H]1CC[C@@H](c2ccc(OCCCN3CCCCC3)cc2)CC1,IC50,'=',11300.0,nM,4.95,CN(C)[C@H]1CC[C@@H](c2ccc(OCCCN3CCCCC3)cc2)CC1,344.54
17980,CHEMBL241970,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,'=',16000.0,nM,4.8,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(C)(=O)=O)cc2)cc1,380.39
18010,CHEMBL404646,COc1cccc(-c2nc(CCOc3cccc(C[C@@H]4C(=O)N(c5ccc(C(C)(C)C)cc5)[C@@H]4C(=O)O)c3)c(C)o2)c1,IC50,'=',650.0,nM,6.19,COc1cccc(-c2nc(CCOc3cccc(C[C@@H]4C(=O)N(c5ccc(C(C)(C)C)cc5)[C@@H]4C(=O)O)c3)c(C)o2)c1,568.67
18015,CHEMBL2178223,CC(C)(O)CN1C[C@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)[C@@H](C(=O)Nc2ccc(Cl)cc2)C1,IC50,'=',4000.0,nM,5.4,CC(C)(O)CN1C[C@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)[C@@H](C(=O)Nc2ccc(Cl)cc2)C1,533.07
18018,CHEMBL252556,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,IC50,'=',5000.0,nM,5.3,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,338.44
18060,CHEMBL1208835,C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(N)c4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F,IC50,'=',200.0,nM,6.7,C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(N)c4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F,523.54
18063,CHEMBL3955478,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(N(C)C)nc4)cc23)c1F,IC50,'=',5000.0,nM,5.3,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(N(C)C)nc4)cc23)c1F,499.54
18065,CHEMBL552567,COc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccccn5)ccc43)cc2)nn1,IC50,'=',26.9,nM,7.57,COc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccccn5)ccc43)cc2)nn1,610.78
18084,CHEMBL1241825,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C#N)ncn4-5)CC3)cccc2n1,IC50,'=',2000.0,nM,5.7,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C#N)ncn4-5)CC3)cccc2n1,450.55
18130,CHEMBL4174931,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccccc2)[C@@H](C)C(F)(F)F)C1=O,IC50,'=',1600.0,nM,5.8,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccccc2)[C@@H](C)C(F)(F)F)C1=O,518.49
18131,CHEMBL523563,Cc1cccc(C)c1CNc1cc(-n2cnccc2=O)cn2c(C)c(C)nc12,IC50,'=',4700.0,nM,5.33,Cc1cccc(C)c1CNc1cc(-n2cnccc2=O)cn2c(C)c(C)nc12,373.46
18134,CHEMBL1643773,CN([C@@H]1CCc2c(CC(=O)O)c3ccc(F)cc3n2C1)S(=O)(=O)c1ccc(F)cc1,IC50,'=',13600.0,nM,4.87,CN([C@@H]1CCc2c(CC(=O)O)c3ccc(F)cc3n2C1)S(=O)(=O)c1ccc(F)cc1,434.46
18144,CHEMBL3260358,O=C(NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)c1cnc2[nH]ncc2c1,IC50,'=',4800.0,nM,5.32,O=C(NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)c1cnc2[nH]ncc2c1,460.44
18145,CHEMBL203567,Nc1c(C(=O)c2cccc(OC[C@@H](O)CO)c2)cnn1-c1ccc(F)cc1,IC50,'=',11000.0,nM,4.96,Nc1c(C(=O)c2cccc(OC[C@@H](O)CO)c2)cnn1-c1ccc(F)cc1,371.37
18146,CHEMBL1831092,COC(=O)C(C)(C)C(c1ccc(Nc2ccc3ccccc3c2)cc1)n1cncn1,IC50,'=',21400.0,nM,4.67,COC(=O)C(C)(C)C(c1ccc(Nc2ccc3ccccc3c2)cc1)n1cncn1,400.48
18154,CHEMBL3330651,O=C(NOCCO)c1cc(F)c2cncn2c1Nc1ccc(I)cc1F,IC50,'=',1200.0,nM,5.92,O=C(NOCCO)c1cc(F)c2cncn2c1Nc1ccc(I)cc1F,474.2
18155,CHEMBL1109,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,IC50,'=',180.0,nM,6.75,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,314.37
18164,CHEMBL210514,COc1nc(NCCCN2CCOCC2)nc(OC)c1NC(=O)c1ccc(Oc2cc3c(cc2C)CCC3(C)C)o1,IC50,'=',3000.0,nM,5.52,COc1nc(NCCCN2CCOCC2)nc(OC)c1NC(=O)c1ccc(Oc2cc3c(cc2C)CCC3(C)C)o1,565.67
18172,CHEMBL4161400,Cl.Cl.NCc1ccc(-c2cnccc2-c2ccco2)o1,IC50,'=',2000.0,nM,5.7,NCc1ccc(-c2cnccc2-c2ccco2)o1,313.18
18174,CHEMBL262968,c1cncc(CCCOc2ccc(-n3ccnc3)cc2)c1,IC50,'=',185.0,nM,6.73,c1cncc(CCCOc2ccc(-n3ccnc3)cc2)c1,279.34
18188,CHEMBL519680,CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc(F)cc2)N=C(c2ccccc2)N1,IC50,'=',640.0,nM,6.19,CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc(F)cc2)N=C(c2ccccc2)N1,425.47
18191,CHEMBL3109985,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2cnc(C3CC3)o2)cc1,IC50,'=',23000.0,nM,4.64,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2cnc(C3CC3)o2)cc1,360.41
18193,CHEMBL4160587,O=C1Nc2ccc(C(=O)N[C@H](CO)c3ccccc3)cc2/C1=C(\c1ccccc1)c1ncc[nH]1,IC50,'=',21400.0,nM,4.67,O=C1Nc2ccc(C(=O)N[C@H](CO)c3ccccc3)cc2/C1=C(\c1ccccc1)c1ncc[nH]1,450.5
18196,CHEMBL4528087,COc1ccc(-c2nc(C)nn2-c2cccc(C(=O)NCCCCc3ccccc3)c2)cc1,IC50,'=',3930.0,nM,5.41,COc1ccc(-c2nc(C)nn2-c2cccc(C(=O)NCCCCc3ccccc3)c2)cc1,440.55
18203,CHEMBL4088036,CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)CC)CC2)c2ncccc2c1.Cl.Cl,IC50,'=',31000.0,nM,4.51,CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)CC)CC2)c2ncccc2c1,520.57
18206,CHEMBL2386772,CCc1cccc(NC(=O)c2cc(Oc3cncnc3)cc(C)n2)n1,IC50,'=',1800.0,nM,5.75,CCc1cccc(NC(=O)c2cc(Oc3cncnc3)cc(C)n2)n1,335.37
18207,CHEMBL1080003,COc1ccc2c(C(F)(F)F)c(CC(=O)O)c(=O)oc2c1,IC50,'=',50000.0,nM,4.3,COc1ccc2c(C(F)(F)F)c(CC(=O)O)c(=O)oc2c1,302.2
18211,CHEMBL3321835,CN(c1ncnc2c(-c3ccc(S(C)(=O)=O)cc3F)csc12)C1CCN(C(=O)OC(C)(C)C)CC1,IC50,'=',76850.0,nM,4.11,CN(c1ncnc2c(-c3ccc(S(C)(=O)=O)cc3F)csc12)C1CCN(C(=O)OC(C)(C)C)CC1,520.65
18212,CHEMBL211204,CCOC1(c2ccc(Br)cc2)SC=C(C)n2c1noc2=O,IC50,'=',18400.0,nM,4.74,CCOC1(c2ccc(Br)cc2)SC=C(C)n2c1noc2=O,369.24
18215,CHEMBL536636,NC[C@H]1CC[C@]2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,IC50,'=',17000.0,nM,4.77,NC[C@H]1CC[C@]2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,293.41
18232,CHEMBL1829763,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@](CCO)(c2ccc(F)cc2)OC1=O,IC50,'=',4900.0,nM,5.31,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@](CCO)(c2ccc(F)cc2)OC1=O,455.48
18240,CHEMBL2059521,CCc1c(CCCC(=O)O)cccc1-c1ccc(-c2ccc(OC(C)C)c(C#N)c2)s1,IC50,'=',1584.89,nM,5.8,CCc1c(CCCC(=O)O)cccc1-c1ccc(-c2ccc(OC(C)C)c(C#N)c2)s1,433.57
18244,CHEMBL485968,CC(NC(=O)c1ccc(C(=O)C(F)(F)F)s1)c1ccncc1,IC50,'=',13000.0,nM,4.89,CC(NC(=O)c1ccc(C(=O)C(F)(F)F)s1)c1ccncc1,328.31
18245,CHEMBL485968,CC(NC(=O)c1ccc(C(=O)C(F)(F)F)s1)c1ccncc1,IC50,'=',10000.0,nM,5.0,CC(NC(=O)c1ccc(C(=O)C(F)(F)F)s1)c1ccncc1,328.31
18246,CHEMBL485967,CC(NC(=O)c1ccc(C(=O)C(F)(F)F)s1)c1cccc2ccccc12,IC50,'=',11000.0,nM,4.96,CC(NC(=O)c1ccc(C(=O)C(F)(F)F)s1)c1cccc2ccccc12,377.39
18249,CHEMBL2070149,CCS(=O)(=O)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3Cl)nc2c1,IC50,'=',4000.0,nM,5.4,CCS(=O)(=O)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3Cl)nc2c1,396.9
18250,CHEMBL2070138,CCCS(=O)(=O)c1ccc2[nH]c(-c3ccccc3)nc2c1,IC50,'=',9500.0,nM,5.02,CCCS(=O)(=O)c1ccc2[nH]c(-c3ccccc3)nc2c1,300.38
18324,CHEMBL498114,Cc1cccc(C)c1CCc1cc(-n2ccccc2=O)cn2c(C)c(C)nc12,IC50,'=',4200.0,nM,5.38,Cc1cccc(C)c1CCc1cc(-n2ccccc2=O)cn2c(C)c(C)nc12,371.48
18325,CHEMBL497419,COc1ccccc1CNc1cc(-n2ccccc2=O)cn2c(C)c(C)nc12,IC50,'=',5600.0,nM,5.25,COc1ccccc1CNc1cc(-n2ccccc2=O)cn2c(C)c(C)nc12,374.44
18326,CHEMBL496624,CCc1cccc(C)c1CNc1cc(-c2ncnn2C)cn2c(C)c(C)nc12,IC50,'=',3200.0,nM,5.5,CCc1cccc(C)c1CNc1cc(-c2ncnn2C)cn2c(C)c(C)nc12,374.49
18327,CHEMBL496426,Cc1cccc(C)c1CNc1cc(-c2ccco2)cn2c(C)c(C)nc12,IC50,'=',3200.0,nM,5.5,Cc1cccc(C)c1CNc1cc(-c2ccco2)cn2c(C)c(C)nc12,345.45
18328,CHEMBL496605,Cc1cccc(C)c1CNc1cc(-n2ccccc2=O)cn2c(C)c(C)nc12,IC50,'=',17000.0,nM,4.77,Cc1cccc(C)c1CNc1cc(-n2ccccc2=O)cn2c(C)c(C)nc12,372.47
18336,CHEMBL1109,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,IC50,'=',318.0,nM,6.5,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,314.37
18467,CHEMBL2018921,COc1ccc2[nH]c(SCc3ccc(I)cc3)nc2c1,IC50,'=',5150.0,nM,5.29,COc1ccc2[nH]c(SCc3ccc(I)cc3)nc2c1,396.25
18496,CHEMBL1784699,COC(=O)c1ccc(C)c(N(C)S(=O)(=O)c2ccc(C)cc2)c1,EC50,'=',15848.93,nM,4.8,COC(=O)c1ccc(C)c(N(C)S(=O)(=O)c2ccc(C)cc2)c1,333.41
18500,CHEMBL3394721,O=C(NCc1ccc(S(=O)(=O)C2CCN(C3CCOCC3)CC2)cc1)c1cc2ccncc2o1,IC50,'=',300.0,nM,6.52,O=C(NCc1ccc(S(=O)(=O)C2CCN(C3CCOCC3)CC2)cc1)c1cc2ccncc2o1,483.59
18523,CHEMBL3683287,N#Cc1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1Cl,IC50,'=',4200.0,nM,5.38,N#Cc1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1Cl,428.83
18538,CHEMBL3822473,COc1cccc(-c2nc(OC)c3ccccc3n2)c1,IC50,'=',5030.0,nM,5.3,COc1cccc(-c2nc(OC)c3ccccc3n2)c1,266.3
18575,CHEMBL541214,O=C(O)COc1c(C(=O)O)sc(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)c1Br,IC50,'=',40000.0,nM,4.4,O=C(O)COc1c(C(=O)O)sc(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)c1Br,609.52
18579,CHEMBL364713,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,IC50,'=',8177.3,nM,5.09,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,413.43
18587,CHEMBL3954978,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(OCCCN(C)C)nc4)cc23)c1F,IC50,'=',5000.0,nM,5.3,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(OCCCN(C)C)nc4)cc23)c1F,557.62
18591,CHEMBL3904645,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(S(=O)(=O)NC)cc4)cc23)c1F,IC50,'=',5000.0,nM,5.3,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(S(=O)(=O)NC)cc4)cc23)c1F,548.59
18597,CHEMBL1450745,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc(OC)c(OC)c2)c1,EC50,'=',2511.89,nM,5.6,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc(OC)c(OC)c2)c1,365.41
18598,CHEMBL1784700,COC(=O)c1ccc(C)c(N(C)S(=O)(=O)c2ccc(OC)cc2)c1,EC50,'=',25118.86,nM,4.6,COC(=O)c1ccc(C)c(N(C)S(=O)(=O)c2ccc(OC)cc2)c1,349.41
18599,CHEMBL4458424,O=C(Nc1cnc(Oc2ccc(F)cc2)nc1)N1CCc2ncccc2[C@@H]1c1ccc(F)cc1,IC50,'=',9900.0,nM,5.0,O=C(Nc1cnc(Oc2ccc(F)cc2)nc1)N1CCc2ncccc2[C@@H]1c1ccc(F)cc1,459.46
18601,CHEMBL4080316,Cc1ccc(NC(=O)c2cc(Oc3cncc(F)c3)cn3ccnc23)nc1,IC50,'=',6900.0,nM,5.16,Cc1ccc(NC(=O)c2cc(Oc3cncc(F)c3)cn3ccnc23)nc1,363.35
18602,CHEMBL3645217,O=C(O)CCC(=O)Nc1ccc(-c2c(O)ccc3cc(-c4cccc(O)c4)ccc23)cc1,IC50,'=',150.0,nM,6.82,O=C(O)CCC(=O)Nc1ccc(-c2c(O)ccc3cc(-c4cccc(O)c4)ccc23)cc1,427.46
18624,CHEMBL1784702,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc(C)cc2)c1,EC50,'=',1584.89,nM,5.8,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc(C)cc2)c1,319.38
18638,CHEMBL4471825,CN(Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)C(C)(C)C,IC50,'=',29000.0,nM,4.54,CN(Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)C(C)(C)C,498.6
18645,CHEMBL2170643,N=C(N)NC(=O)c1ccc(C2CCN(C(=O)c3ccc(F)cc3)CC2)c(C(F)(F)F)c1,IC50,'=',8000.0,nM,5.1,N=C(N)NC(=O)c1ccc(C2CCN(C(=O)c3ccc(F)cc3)CC2)c(C(F)(F)F)c1,436.41
18646,CHEMBL2070156,CCS(=O)(=O)c1ccc2[nH]c(-c3cncc(-c4ccccc4)c3)nc2c1,IC50,'=',9800.0,nM,5.01,CCS(=O)(=O)c1ccc2[nH]c(-c3cncc(-c4ccccc4)c3)nc2c1,363.44
18648,CHEMBL4476185,Cc1cccc(Cl)c1C(=O)c1cn(-c2ccc(C(=O)O)cc2)c2ccccc12,IC50,'=',13500.0,nM,4.87,Cc1cccc(Cl)c1C(=O)c1cn(-c2ccc(C(=O)O)cc2)c2ccccc12,389.84
18649,CHEMBL4521594,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2)ccc1Oc1cccc(Cl)c1,IC50,'=',4600.0,nM,5.34,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2)ccc1Oc1cccc(Cl)c1,416.89
18650,CHEMBL1200604,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,IC50,'=',1000.0,nM,6.0,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,284.36
18652,CHEMBL4520100,O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc32)cc1,IC50,'=',16000.0,nM,4.8,O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc32)cc1,443.81
18700,CHEMBL4106646,CCCCCCCC(F)(F)CCCCCC/C=C/[C@H](C(O)N[C@@H](Cc1ccc(OCCCC)cc1)C(=O)O)[C@@](O)(CCOC)C(=O)O,IC50,'=',12500.0,nM,4.9,CCCCCCCC(F)(F)CCCCCC/C=C/[C@H](C(O)N[C@@H](Cc1ccc(OCCCC)cc1)C(=O)O)[C@@](O)(CCOC)C(=O)O,671.86
18705,CHEMBL4107824,CCCCCCCC(F)(F)CCCCCC/C=C/[C@H](C(O)N[C@@H](Cc1ccc(OCCCC)cc1)C(=O)OC)[C@@](O)(CCOC)C(=O)O,IC50,'=',19600.0,nM,4.71,CCCCCCCC(F)(F)CCCCCC/C=C/[C@H](C(O)N[C@@H](Cc1ccc(OCCCC)cc1)C(=O)OC)[C@@](O)(CCOC)C(=O)O,685.89
18707,CHEMBL4106646,CCCCCCCC(F)(F)CCCCCC/C=C/[C@H](C(O)N[C@@H](Cc1ccc(OCCCC)cc1)C(=O)O)[C@@](O)(CCOC)C(=O)O,IC50,'=',24400.0,nM,4.61,CCCCCCCC(F)(F)CCCCCC/C=C/[C@H](C(O)N[C@@H](Cc1ccc(OCCCC)cc1)C(=O)O)[C@@](O)(CCOC)C(=O)O,671.86
18709,CHEMBL4100640,O=C(O)CC1CCC2(CC1)CCN(c1ccc(-c3nc4cc(C(F)(F)F)ccc4[nH]3)cn1)CC2,IC50,'=',10800.0,nM,4.97,O=C(O)CC1CCC2(CC1)CCN(c1ccc(-c3nc4cc(C(F)(F)F)ccc4[nH]3)cn1)CC2,472.51
18718,CHEMBL3819226,CCOC1(c2ccccc2)Sc2ccccc2-n2c1noc2=O,IC50,'=',19000.0,nM,4.72,CCOC1(c2ccccc2)Sc2ccccc2-n2c1noc2=O,326.38
18731,CHEMBL4078588,Cc1ccc(Cc2cc3c(=O)n([C@H]4CCCC[C@@H]4O)cnc3c3ccccc23)cn1,IC50,'=',13300.0,nM,4.88,Cc1ccc(Cc2cc3c(=O)n([C@H]4CCCC[C@@H]4O)cnc3c3ccccc23)cn1,399.49
18732,CHEMBL2322421,Cn1nccc1-c1cc(Cl)ccc1Oc1ccc(S(=O)(=O)Nc2cscn2)cc1C#N,IC50,'=',1368.0,nM,5.86,Cn1nccc1-c1cc(Cl)ccc1Oc1ccc(S(=O)(=O)Nc2cscn2)cc1C#N,471.95
18734,CHEMBL4439877,Fc1ccc(-c2nc3c(N4CCOCC4)nccn3c2-c2ccc3[nH]ncc3c2)cc1,IC50,'=',500.0,nM,6.3,Fc1ccc(-c2nc3c(N4CCOCC4)nccn3c2-c2ccc3[nH]ncc3c2)cc1,414.44
18745,CHEMBL389996,O=C(O)c1cncc(C2=C(c3cc(Cl)ccc3OCc3ccc(F)cc3F)CCC2)n1,IC50,'=',12000.0,nM,4.92,O=C(O)c1cncc(C2=C(c3cc(Cl)ccc3OCc3ccc(F)cc3F)CCC2)n1,442.85
18747,CHEMBL248407,Cc1ccc2c(OCCN3CCN(Cc4ccc5c(c4)N(CCc4ccccc4)C(=O)CO5)CC3)cccc2n1,IC50,'=',4000.0,nM,5.4,Cc1ccc2c(OCCN3CCN(Cc4ccc5c(c4)N(CCc4ccccc4)C(=O)CO5)CC3)cccc2n1,536.68
18750,CHEMBL225413,O=C(NCC1CCOCC1)c1cnc(Nc2cccc(Cl)c2F)nc1C(F)(F)F,IC50,'=',75000.0,nM,4.12,O=C(NCC1CCOCC1)c1cnc(Nc2cccc(Cl)c2F)nc1C(F)(F)F,432.81
18752,CHEMBL225464,O=C(NCC1CCOCC1)c1cnc(Nc2cc(Cl)ccc2F)nc1C(F)(F)F,IC50,'=',37000.0,nM,4.43,O=C(NCC1CCOCC1)c1cnc(Nc2cc(Cl)ccc2F)nc1C(F)(F)F,432.81
18764,CHEMBL1778481,Cn1c(-c2ccccn2)c(C2CCCCC2)c2ccc(C(=O)NC(C)(C)C(=O)Nc3ccc(/C=C/C(=O)O)cc3)cc21,IC50,'=',7900.0,nM,5.1,Cn1c(-c2ccccn2)c(C2CCCCC2)c2ccc(C(=O)NC(C)(C)C(=O)Nc3ccc(/C=C/C(=O)O)cc3)cc21,564.69
18769,CHEMBL3809896,O=C(Nc1ccn(-c2cn(Cc3cccc(C(F)(F)F)c3)cn2)c(=O)c1)c1cscn1,IC50,'=',2100.0,nM,5.68,O=C(Nc1ccn(-c2cn(Cc3cccc(C(F)(F)F)c3)cn2)c(=O)c1)c1cscn1,445.43
18773,CHEMBL246161,O=[N+]([O-])c1cnc(NCc2ccccc2Cl)nc1NCC1CCNCC1,IC50,'=',17600.0,nM,4.75,O=[N+]([O-])c1cnc(NCc2ccccc2Cl)nc1NCC1CCNCC1,376.85
18775,CHEMBL565195,CS(=O)(=O)c1ccc(Nc2nc3cc(C(N)=O)ccc3n2Cc2ccccc2C(F)(F)F)cc1,IC50,'=',15000.0,nM,4.82,CS(=O)(=O)c1ccc(Nc2nc3cc(C(N)=O)ccc3n2Cc2ccccc2C(F)(F)F)cc1,488.49
18776,CHEMBL4110017,CO[C@H](C)c1nc(C)nn1-c1cc(C2C[C@H]2c2nc3ccccc3n2C)nc(C)n1,IC50,'=',10500.0,nM,4.98,CO[C@H](C)c1nc(C)nn1-c1cc(C2C[C@H]2c2nc3ccccc3n2C)nc(C)n1,403.49
18778,CHEMBL233043,O=C(O)c1cncc(C2=C(c3cc(C(F)(F)F)ccc3OCc3ccccc3)CCC2)c1,IC50,'=',14000.0,nM,4.85,O=C(O)c1cncc(C2=C(c3cc(C(F)(F)F)ccc3OCc3ccccc3)CCC2)c1,439.43
18782,CHEMBL404451,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H]2C(=O)N(c3ccc(C(C)(C)C)cc3)[C@H]2C(=O)O)cc1,IC50,'=',3000.0,nM,5.52,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H]2C(=O)N(c3ccc(C(C)(C)C)cc3)[C@H]2C(=O)O)cc1,538.64
18783,CHEMBL536754,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccccc3)cc1)CC2.Cl,IC50,'=',3700.0,nM,5.43,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccccc3)cc1)CC2,570.17
18799,CHEMBL4071093,COc1cccc(/C=C/C(=O)c2cc(OC)c(OC)cc2O)c1,IC50,'=',42100.0,nM,4.38,COc1cccc(/C=C/C(=O)c2cc(OC)c(OC)cc2O)c1,314.34
18801,CHEMBL3933543,CC(C)[C@@H]1c2nn(-c3cccc(S(C)(=O)=O)c3)cc2CN1c1ccnc(C(F)(F)F)n1,IC50,'=',1867.0,nM,5.73,CC(C)[C@@H]1c2nn(-c3cccc(S(C)(=O)=O)c3)cc2CN1c1ccnc(C(F)(F)F)n1,451.47
18802,CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,'=',10000.0,nM,5.0,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,381.38
18877,CHEMBL3810414,Cc1cccc(C(C)(O)c2nc(-n3ccc(NC(=O)c4cscn4)cc3=O)c[nH]2)c1,IC50,'=',13000.0,nM,4.89,Cc1cccc(C(C)(O)c2nc(-n3ccc(NC(=O)c4cscn4)cc3=O)c[nH]2)c1,421.48
18881,CHEMBL568232,CC(C)(CO)C(Cc1cccc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,IC50,'=',1500.0,nM,5.82,CC(C)(CO)C(Cc1cccc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,579.78
18885,CHEMBL565983,CC1(CC(=O)NCc2ccc(OC(F)(F)F)cc2)CC2(CCCCC2)OO1,IC50,'=',4000.0,nM,5.4,CC1(CC(=O)NCc2ccc(OC(F)(F)F)cc2)CC2(CCCCC2)OO1,387.4
18887,CHEMBL1076536,Cc1cccc(C)c1COc1cccn2c(C)c(C)nc12,IC50,'=',16000.0,nM,4.8,Cc1cccc(C)c1COc1cccn2c(C)c(C)nc12,280.37
